trans_amount,account_balance,num_transactions,merchant_risk_score,customer_age,days_since_last_transaction,card_decline_rate,device_trust_score,location_mismatch,previous_fraud_flag
241.78755947278864,82908.65586765266,32,0.3790940486719362,51,2,0.1054052859561669,0.4523667592065702,0,0
4724.380992113316,12276.42072436106,10,0.7892928483196856,58,17,0.795660230661442,0.49328082733856,0,0
3056.994011783747,6910.413707610807,24,0.2415006279928334,46,15,0.8725199518293624,0.6487351388757342,0,0
153.62555480356147,41161.7441336898,43,0.6736454174749077,59,5,0.6891210904957582,0.3277472258961281,1,0
4575.081046329819,12896.765061983382,38,0.0845653780972378,33,16,0.4320105589303626,0.1155058661564661,0,0
3341.113115219925,27488.650589324607,24,0.5325040664159818,76,0,0.7658684256625315,0.9644321795679808,0,0
4178.159452990298,81814.90570949431,40,0.3570293439700122,36,2,0.6965614021440462,0.5251538941116284,0,0
3820.3929128572063,39213.41724796515,29,0.8401080784391999,20,7,0.5727605329550868,0.6728258885580842,0,0
1773.2276178500035,66854.45857564612,5,0.4543454230676551,65,19,0.2151556216240555,0.1009416255563988,0,0
2691.6040586602358,64426.03492875896,36,0.4884956326599053,77,29,0.0387569355541824,0.7372192235713048,0,0
2718.05345495966,73784.47192873026,28,0.0235949646455291,23,9,0.3207245244599576,0.0983449215902131,0,0
1266.393656168567,34846.139869429084,41,0.593560935378786,44,6,0.220508787136648,0.8136088133673559,0,0
122.1218485173858,9389.764918330902,23,0.4925690707532976,22,6,0.2542591609889305,0.5245005742189764,0,0
1741.2964774621762,96852.02888167894,40,0.5726072328820224,50,8,0.2655575980124136,0.9597837864377148,1,0
646.6257109498632,93702.08652080318,23,0.4642385197392249,77,22,0.2131421193139366,0.1753342413768599,0,1
3791.652091217202,71948.25764939915,36,0.9670352752561462,34,26,0.5322228748561939,0.4475028896995081,0,0
517.8945383758146,99216.58568084892,17,0.8044946424318223,69,28,0.8450122371557759,0.2090581287808661,0,1
4266.517182782127,61703.36642062173,11,0.4165658284822922,66,26,0.7912842924966835,0.702405365866202,0,0
1715.668584972401,36857.28105507824,14,0.8223812111853543,78,0,0.6669359852039066,0.2122775152855144,0,0
1280.6568672711817,61996.836694293175,19,0.6923589224610581,69,8,0.513955446690708,0.9602180723828246,0,0
4879.501876518048,87109.81546223395,49,0.807070903866703,39,20,0.1917362173902664,0.5365256083934482,0,0
1800.5641157762775,13157.966636345927,12,0.0389793206611304,48,2,0.8499464959451885,0.1808745244253363,0,0
1318.697581056127,94073.85658702251,25,0.627328935090678,57,29,0.9503070137361812,0.646365112123656,0,0
932.42373307238,2224.8141439536757,24,0.0169476648895809,79,12,0.2326366383867749,0.183423643497956,0,0
1472.807174002456,61636.946480991886,24,0.8038048904834751,75,29,0.9314789925966808,0.6951198159457673,0,0
3662.649769638912,87307.2890040532,35,0.8221798868164233,38,14,0.4158613394079475,0.1654201521284093,0,0
3094.4599198849,96296.39483623422,27,0.1025679625835898,69,27,0.750330775819956,0.6658308276518625,1,0
2520.649930314637,86716.44646263261,41,0.5717459831437487,48,20,0.2488190270199318,0.8531758122578004,0,0
2112.9085074565646,74598.8048948501,18,0.0822723242770618,39,6,0.3069310729812325,0.4463545794299259,0,0
4249.740479480283,18196.820018514565,14,0.3077958316807456,26,11,0.0774829737923858,0.0039599430121427,0,0
1998.5386246428932,74296.3814678781,41,0.2900455319624369,32,11,0.1214149055049721,0.4178839966176096,0,0
1811.2597457307336,75162.37109430166,18,0.5969106905466561,72,28,0.2533793988293344,0.7989485620717061,0,0
3481.78595803324,12108.884631523782,40,0.6167836078525412,40,15,0.0373969904087972,0.8824091864437885,0,0
4748.107912051634,9661.884096464157,35,0.2223613047481702,38,21,0.1756720999559107,0.6708648870019059,0,0
4744.9388308941325,12144.631889150152,15,0.4136426749186352,32,26,0.8222281125770106,0.0867829540649904,1,0
860.9153771995848,59667.3608603571,20,0.019327630917601,26,2,0.5129793498209074,0.8400188319206985,0,0
2518.1590945949088,23072.46512851951,48,0.940784520503108,61,23,0.2165791856272408,0.9728441586600224,0,0
