customer_id,transaction_id,trans_time_stamp,current_balance,days_since,is_Auto & Transport,is_Education,is_Entertainment,is_Food & Dining,is_Health & Fitness,is_Pets,is_Taxes,is_Travel,is_Uncategorized,is_Utilities,is_disputed
1007,5488,2024-04-20 14:51:28.412415,8077.07,220,0,0,0,0,0,0,0,1,0,0,0
1045,2026,2024-03-23 14:51:28.412415,37413.77,192,0,0,0,0,0,0,0,0,0,1,0
1031,4032,2024-03-14 14:51:28.412415,45473.55,183,0,1,0,0,0,0,0,0,0,0,0
1094,4347,2023-10-26 14:51:28.412415,37748.42,43,1,0,0,0,0,0,0,0,0,0,0
1075,6168,2024-05-21 14:51:28.412415,7459.3,251,1,0,0,0,0,0,0,0,0,0,0
1083,2561,2023-11-28 14:51:28.412415,13640.85,76,0,0,0,0,1,0,0,0,0,0,0
1016,2801,2024-03-07 14:51:28.412415,5882.31,30176,0,0,0,0,0,0,0,1,0,0,1
1093,849,2024-08-26 14:51:28.412415,45603.39,30348,0,0,0,0,0,0,0,0,1,0,1
1060,3921,2024-03-27 14:51:28.412415,38214.36,196,0,0,0,0,0,0,0,0,0,1,0
1061,1325,2024-01-04 14:51:28.412415,46559.83,30113,0,0,0,0,0,0,1,0,0,0,1
1013,5390,2024-04-14 14:51:28.412415,34453.72,214,0,0,0,0,0,0,1,0,0,0,0
1006,1363,2023-10-12 14:51:28.412415,32733.79,29,0,0,0,0,0,0,1,0,0,0,0
1031,5655,2023-11-08 14:51:28.412415,15241.5,56,0,0,0,0,0,0,0,0,0,1,0
1017,997,2023-11-19 14:51:28.412415,26112.53,30067,0,0,0,0,0,0,0,1,0,0,1
1001,4154,2024-01-01 14:51:28.412415,2356.97,110,0,0,0,0,1,0,0,0,0,0,0
1013,1142,2024-03-03 14:51:28.412415,7584.14,172,0,0,1,0,0,0,0,0,0,0,0
1002,2341,2024-08-06 14:51:28.412415,11470.03,328,1,0,0,0,0,0,0,0,0,0,0
1079,4667,2023-10-12 14:51:28.412415,4695.99,29,0,0,0,1,0,0,0,0,0,0,0
1045,1945,2024-02-23 14:51:28.412415,18485.14,163,0,0,0,0,0,0,0,0,1,0,0
1026,6476,2023-10-18 14:51:28.412415,33785.49,35,0,0,0,1,0,0,0,0,0,0,0
1030,9586,2023-10-28 14:51:28.412415,45447.69,45,0,0,0,0,0,0,0,0,0,1,0
1066,4007,2024-08-18 14:51:28.412415,32705.87,30340,0,0,0,0,0,0,0,1,0,0,1
1090,7329,2024-04-15 14:51:28.412415,34011.81,30215,0,0,0,0,0,0,1,0,0,0,1
1039,1002,2023-09-29 14:51:28.412415,11650.02,30016,0,0,0,0,0,0,0,0,1,0,1
1096,7715,2024-06-27 14:51:28.412415,24913.36,288,0,1,0,0,0,0,0,0,0,0,0
1040,8588,2024-07-12 14:51:28.412415,21658.88,303,0,0,1,0,0,0,0,0,0,0,0
1026,4800,2024-06-30 14:51:28.412415,32313.05,30291,0,0,0,0,0,0,0,0,1,0,1
1008,6291,2023-11-11 14:51:28.412415,33027.8,59,0,0,0,0,1,0,0,0,0,0,0
1034,3515,2023-10-24 14:51:28.412415,6019.02,30041,0,0,0,0,0,0,0,1,0,0,1
1083,3648,2024-07-12 14:51:28.412415,17943.91,303,0,0,1,0,0,0,0,0,0,0,0
1098,1625,2024-04-26 14:51:28.412415,1871.6,226,0,1,0,0,0,0,0,0,0,0,0
1002,4208,2023-12-24 14:51:28.412415,29202.15,102,0,0,0,0,0,1,0,0,0,0,0
1027,6416,2024-01-10 14:51:28.412415,4976.49,119,0,1,0,0,0,0,0,0,0,0,0
1035,8213,2024-07-15 14:51:28.412415,24672.95,306,0,0,0,1,0,0,0,0,0,0,0
1040,9221,2023-12-17 14:51:28.412415,36791.43,95,0,0,0,1,0,0,0,0,0,0,0
1001,9673,2023-09-21 14:51:28.412415,35873.86,8,0,0,0,1,0,0,0,0,0,0,0
1000,6529,2023-11-11 14:51:28.412415,32402.42,59,0,0,1,0,0,0,0,0,0,0,0
1087,6784,2023-11-21 14:51:28.412415,25265.46,69,0,0,0,0,0,1,0,0,0,0,0
1073,746,2024-04-14 14:51:28.412415,39499.08,30214,0,0,0,0,0,0,0,1,0,0,1
1054,1610,2024-01-29 14:51:28.412415,26526.15,138,0,0,1,0,0,0,0,0,0,0,0
1065,1520,2024-05-16 14:51:28.412415,29224.58,246,0,0,0,0,0,0,1,0,0,0,0
1008,6897,2024-03-15 14:51:28.412415,16859.38,184,0,0,0,0,0,0,0,0,0,1,0
1097,7224,2023-10-08 14:51:28.412415,45612.42,25,1,0,0,0,0,0,0,0,0,0,0
1035,261,2024-03-17 14:51:28.412415,36157.07,30186,0,0,0,0,0,0,0,0,1,0,1
1043,3137,2024-07-31 14:51:28.412415,35616.33,322,0,0,0,0,1,0,0,0,0,0,0
1089,1609,2024-01-11 14:51:28.412415,36267.54,120,0,0,0,0,0,0,1,0,0,0,0
1085,9699,2024-01-04 14:51:28.412415,32642.88,113,1,0,0,0,0,0,0,0,0,0,0
1084,3825,2024-05-02 14:51:28.412415,17273.71,232,0,0,0,0,0,0,0,0,0,1,0
1051,4039,2024-06-07 14:51:28.412415,26975.76,268,1,0,0,0,0,0,0,0,0,0,0
