customer_id,transaction_id,transaction_type,trans_time_stamp,current_balance,is_disputed,days_since
1007,5488,Travel,2024-04-20 14:51:28.412415,8077.07,False,220
1045,2026,Utilities,2024-03-23 14:51:28.412415,37413.77,False,192
1031,4032,Education,2024-03-14 14:51:28.412415,45473.55,False,183
1094,4347,Auto & Transport,2023-10-26 14:51:28.412415,37748.42,False,43
1075,6168,Auto & Transport,2024-05-21 14:51:28.412415,7459.3,False,251
1083,2561,Health & Fitness,2023-11-28 14:51:28.412415,13640.85,False,76
1016,2801,Travel,2024-03-07 14:51:28.412415,5882.31,True,30176
1093,849,Uncategorized,2024-08-26 14:51:28.412415,45603.39,True,30348
1060,3921,Utilities,2024-03-27 14:51:28.412415,38214.36,False,196
1061,1325,Taxes,2024-01-04 14:51:28.412415,46559.83,True,30113
1013,5390,Taxes,2024-04-14 14:51:28.412415,34453.72,False,214
1006,1363,Taxes,2023-10-12 14:51:28.412415,32733.79,False,29
1031,5655,Utilities,2023-11-08 14:51:28.412415,15241.5,False,56
1017,997,Travel,2023-11-19 14:51:28.412415,26112.53,True,30067
1001,4154,Health & Fitness,2024-01-01 14:51:28.412415,2356.97,False,110
1013,1142,Entertainment,2024-03-03 14:51:28.412415,7584.14,False,172
1002,2341,Auto & Transport,2024-08-06 14:51:28.412415,11470.03,False,328
1079,4667,Food & Dining,2023-10-12 14:51:28.412415,4695.99,False,29
1045,1945,Uncategorized,2024-02-23 14:51:28.412415,18485.14,False,163
1026,6476,Food & Dining,2023-10-18 14:51:28.412415,33785.49,False,35
1030,9586,Utilities,2023-10-28 14:51:28.412415,45447.69,False,45
1066,4007,Travel,2024-08-18 14:51:28.412415,32705.87,True,30340
1090,7329,Taxes,2024-04-15 14:51:28.412415,34011.81,True,30215
1039,1002,Uncategorized,2023-09-29 14:51:28.412415,11650.02,True,30016
1096,7715,Education,2024-06-27 14:51:28.412415,24913.36,False,288
1040,8588,Entertainment,2024-07-12 14:51:28.412415,21658.88,False,303
1026,4800,Uncategorized,2024-06-30 14:51:28.412415,32313.05,True,30291
1008,6291,Health & Fitness,2023-11-11 14:51:28.412415,33027.8,False,59
1034,3515,Travel,2023-10-24 14:51:28.412415,6019.02,True,30041
1083,3648,Entertainment,2024-07-12 14:51:28.412415,17943.91,False,303
1098,1625,Education,2024-04-26 14:51:28.412415,1871.6,False,226
1002,4208,Pets,2023-12-24 14:51:28.412415,29202.15,False,102
1027,6416,Education,2024-01-10 14:51:28.412415,4976.49,False,119
1035,8213,Food & Dining,2024-07-15 14:51:28.412415,24672.95,False,306
1040,9221,Food & Dining,2023-12-17 14:51:28.412415,36791.43,False,95
1001,9673,Food & Dining,2023-09-21 14:51:28.412415,35873.86,False,8
1000,6529,Entertainment,2023-11-11 14:51:28.412415,32402.42,False,59
1087,6784,Pets,2023-11-21 14:51:28.412415,25265.46,False,69
1073,746,Travel,2024-04-14 14:51:28.412415,39499.08,True,30214
1054,1610,Entertainment,2024-01-29 14:51:28.412415,26526.15,False,138
1065,1520,Taxes,2024-05-16 14:51:28.412415,29224.58,False,246
1008,6897,Utilities,2024-03-15 14:51:28.412415,16859.38,False,184
1097,7224,Auto & Transport,2023-10-08 14:51:28.412415,45612.42,False,25
1035,261,Uncategorized,2024-03-17 14:51:28.412415,36157.07,True,30186
1043,3137,Health & Fitness,2024-07-31 14:51:28.412415,35616.33,False,322
1089,1609,Taxes,2024-01-11 14:51:28.412415,36267.54,False,120
1085,9699,Auto & Transport,2024-01-04 14:51:28.412415,32642.88,False,113
1084,3825,Utilities,2024-05-02 14:51:28.412415,17273.71,False,232
1051,4039,Auto & Transport,2024-06-07 14:51:28.412415,26975.76,False,268
1008,2430,Education,2024-06-02 14:51:28.412415,47506.17,False,263
1020,921,Pets,2024-06-23 14:51:28.412415,14449.15,False,284
1063,6662,Auto & Transport,2024-01-03 14:51:28.412415,28632.71,False,112
1086,5564,Auto & Transport,2023-09-24 14:51:28.412415,41914.98,False,11
1035,1868,Health & Fitness,2024-06-03 14:51:28.412415,34426.22,False,264
1064,3206,Taxes,2024-01-24 14:51:28.412415,42434.4,True,30133
1053,5939,Taxes,2024-03-26 14:51:28.412415,33394.1,False,195
1001,2589,Pets,2024-07-20 14:51:28.412415,10658.93,False,311
1016,1716,Travel,2024-07-22 14:51:28.412415,35036.85,True,30313
1013,3014,Health & Fitness,2024-04-01 14:51:28.412415,44152.89,False,201
1027,7225,Food & Dining,2024-05-31 14:51:28.412415,3070.87,False,261
1032,305,Entertainment,2024-07-20 14:51:28.412415,46092.68,False,311
1074,7222,Uncategorized,2024-03-21 14:51:28.412415,606.9,False,190
1032,1297,Uncategorized,2023-12-16 14:51:28.412415,39218.2,True,30094
1020,2761,Pets,2024-06-08 14:51:28.412415,18325.86,False,269
1094,8720,Uncategorized,2023-10-09 14:51:28.412415,32116.63,False,26
1011,7805,Travel,2024-03-05 14:51:28.412415,22118.24,False,174
1045,9427,Entertainment,2024-09-05 14:51:28.412415,19271.95,False,358
1073,7887,Auto & Transport,2024-01-14 14:51:28.412415,36489.64,False,123
1092,1940,Education,2024-08-24 14:51:28.412415,5101.49,False,346
1064,6526,Utilities,2024-03-08 14:51:28.412415,19245.69,False,177
1058,4925,Taxes,2024-08-29 14:51:28.412415,2780.33,False,351
1019,6272,Pets,2024-02-25 14:51:28.412415,48760.57,False,165
1088,4376,Health & Fitness,2024-01-03 14:51:28.412415,16929.87,False,112
1095,6988,Utilities,2024-08-29 14:51:28.412415,38701.07,False,351
1046,8687,Taxes,2023-11-23 14:51:28.412415,15231.73,True,30071
1028,9280,Auto & Transport,2024-02-09 14:51:28.412415,11645.23,False,149
1016,6649,Auto & Transport,2024-03-31 14:51:28.412415,48799.12,False,200
1043,2145,Travel,2024-05-07 14:51:28.412415,19679.79,True,30237
1047,489,Auto & Transport,2024-04-13 14:51:28.412415,3684.56,False,213
1046,1201,Entertainment,2024-03-26 14:51:28.412415,21270.76,False,195
1077,1814,Health & Fitness,2024-08-27 14:51:28.412415,11548.15,False,349
1011,6329,Entertainment,2024-03-27 14:51:28.412415,31540.5,False,196
1008,8097,Auto & Transport,2024-05-25 14:51:28.412415,37759.61,False,255
1063,2287,Education,2024-02-24 14:51:28.412415,27579.38,False,164
1052,4818,Uncategorized,2023-12-23 14:51:28.412415,34744.16,True,30101
1098,8916,Entertainment,2024-01-11 14:51:28.412415,15239.45,False,120
1064,9701,Pets,2024-02-26 14:51:28.412415,18910.26,False,166
1085,960,Auto & Transport,2023-11-28 14:51:28.412415,33559.31,False,76
1080,3909,Food & Dining,2024-02-15 14:51:28.412415,17630.83,False,155
1002,9536,Uncategorized,2024-05-27 14:51:28.412415,11612.53,True,30257
1082,4300,Utilities,2023-10-26 14:51:28.412415,42638.93,False,43
1054,3558,Education,2024-08-28 14:51:28.412415,40662.66,False,350
1034,3903,Utilities,2024-01-19 14:51:28.412415,33430.38,False,128
1096,9391,Food & Dining,2024-08-24 14:51:28.412415,41046.46,False,346
1007,753,Health & Fitness,2024-07-14 14:51:28.412415,1759.27,False,305
1090,690,Entertainment,2024-03-19 14:51:28.412415,46381.69,False,188
1046,1265,Uncategorized,2024-08-30 14:51:28.412415,18035.16,True,30352
1081,3843,Food & Dining,2023-10-02 14:51:28.412415,717.57,False,19
1021,6785,Taxes,2024-07-09 14:51:28.412415,44281.19,False,300
1061,1638,Health & Fitness,2024-04-12 14:51:28.412415,3376.41,False,212
1003,1021,Pets,2024-03-29 14:51:28.412415,5172.31,False,198
1089,4277,Health & Fitness,2024-05-28 14:51:28.412415,44461.28,False,258
1097,2028,Uncategorized,2023-10-24 14:51:28.412415,24969.03,True,30041
1070,7456,Taxes,2024-02-26 14:51:28.412415,24373.33,False,166
1031,3722,Food & Dining,2024-02-04 14:51:28.412415,40339.09,False,144
1054,9096,Auto & Transport,2024-03-08 14:51:28.412415,36593.87,False,177
1089,5462,Uncategorized,2024-06-25 14:51:28.412415,16468.57,True,30286
1071,9162,Education,2023-09-22 14:51:28.412415,10655.42,False,9
1008,4156,Health & Fitness,2024-03-16 14:51:28.412415,9539.08,False,185
1090,9984,Health & Fitness,2024-05-06 14:51:28.412415,46043.3,False,236
1029,2618,Health & Fitness,2024-07-14 14:51:28.412415,4834.92,False,305
1010,6589,Entertainment,2024-05-08 14:51:28.412415,15751.04,False,238
1068,8393,Health & Fitness,2024-02-04 14:51:28.412415,21685.98,False,144
1072,1723,Education,2024-04-27 14:51:28.412415,46453.55,False,227
1040,2491,Uncategorized,2024-06-20 14:51:28.412415,13661.82,True,30281
1052,1807,Entertainment,2024-07-15 14:51:28.412415,43531.62,False,306
1036,2086,Uncategorized,2024-04-13 14:51:28.412415,46324.06,True,30213
1067,3146,Health & Fitness,2023-10-23 14:51:28.412415,12318.16,False,40
1023,6743,Travel,2024-03-10 14:51:28.412415,20106.13,True,30179
1005,180,Uncategorized,2024-06-27 14:51:28.412415,17080.11,True,30288
1071,2270,Utilities,2024-03-07 14:51:28.412415,37436.18,False,176
1039,1262,Auto & Transport,2024-08-20 14:51:28.412415,2101.82,False,342
1086,4731,Health & Fitness,2023-12-17 14:51:28.412415,35974.37,False,95
1015,8769,Entertainment,2024-04-20 14:51:28.412415,3496.77,False,220
1025,6871,Entertainment,2024-06-30 14:51:28.412415,25247.76,False,291
1050,3538,Uncategorized,2024-05-23 14:51:28.412415,19033.15,True,30253
1057,2527,Pets,2024-03-09 14:51:28.412415,39733.98,False,178
1095,2329,Education,2023-11-08 14:51:28.412415,31324.66,False,56
1043,6741,Health & Fitness,2024-03-10 14:51:28.412415,24014.44,False,179
